YEAR,WEEK,%UNWEIGHTED ILI
2010,37,0.934009
2010,38,1.08189
2010,39,1.06563
2010,40,1.13505
2010,41,1.25256
2010,42,1.2457
2010,43,1.26774
2010,44,1.43723
2010,45,1.53341
2010,46,1.69445
2010,47,1.9915
2010,48,1.81305
2010,49,2.01426
2010,50,2.55659
2010,51,3.38185
2010,52,3.43172
2011,1,2.69151
2011,2,2.91063
2011,3,3.49232
2011,4,4.0037
2011,5,4.43534
2011,6,4.24215
2011,7,4.39719
2011,8,3.90256
2011,9,3.15073
2011,10,2.72422
2011,11,2.33336
2011,12,1.925
2011,13,1.75243
2011,14,1.57704
2011,15,1.35766
2011,16,1.31223
2011,17,1.14937
2011,18,1.11451
2011,19,1.10984
2011,20,1.0524
2011,21,1.03536
2011,22,1.11777
2011,23,0.982949
2011,24,0.925194
2011,25,0.835531
2011,26,0.832393
2011,27,0.855591
2011,28,0.706949
2011,29,0.694387
2011,30,0.687976
2011,31,0.644743
2011,32,0.67533
2011,33,0.72823
2011,34,0.806526
2011,35,0.860408
2011,36,0.936075
2011,37,0.966683
2011,38,0.996007
2011,39,1.10846
2011,40,1.20345
2011,41,1.23777
2011,42,1.25259
2011,43,1.30546
2011,44,1.45295
2011,45,1.44089
2011,46,1.46221
2011,47,1.65573
2011,48,1.46606
2011,49,1.51811
2011,50,1.66429
2011,51,1.85274
2011,52,2.12413
2012,1,1.76709
2012,2,1.5434
2012,3,1.64762
2012,4,1.6843
2012,5,1.86354
2012,6,1.86408
2012,7,2.01839
2012,8,2.10385
2012,9,2.09555
2012,10,2.10398
2012,11,2.2941
2012,12,1.92223
2012,13,1.74239
2012,14,1.67601
2012,15,1.49637
2012,16,1.38202
2012,17,1.28926
2012,18,1.35803
2012,19,1.30833
2012,20,1.26692
2012,21,1.27731
2012,22,1.2991
2012,23,1.16297
2012,24,1.08612
2012,25,1.0568
2012,26,1.07871
2012,27,1.04662
2012,28,0.928152
2012,29,0.901936
2012,30,0.915356
2012,31,0.952548
2012,32,0.916661
2012,33,0.901787
2012,34,1.03315
2012,35,1.05238
2012,36,1.12713
2012,37,1.1866
2012,38,1.21415
2012,39,1.25198
2012,40,1.20559
2012,41,1.31929
2012,42,1.32737
2012,43,1.36688
2012,44,1.50535
2012,45,1.61273
2012,46,1.75208
2012,47,2.33365
2012,48,2.22697
2012,49,2.97657
2012,50,3.62552
2012,51,4.5532
2012,52,6.02598
2013,1,4.96368
2013,2,4.69072
2013,3,4.70473
2013,4,4.1646
2013,5,3.69533
2013,6,3.2363
2013,7,2.89421
2013,8,2.71742
2013,9,2.52297
2013,10,2.55227
2013,11,2.43225
2013,12,2.10851
2013,13,1.94725
2013,14,1.74859
2013,15,1.49713
2013,16,1.32313
2013,17,1.22647
2013,18,1.19614
2013,19,1.19049
2013,20,1.17426
2013,21,1.13342
2013,22,1.14306
2013,23,1.00881
2013,24,1.02358
2013,25,1.00138
2013,26,0.909498
2013,27,0.950042
2013,28,0.829299
2013,29,0.802109
2013,30,0.806333
2013,31,0.796937
2013,32,0.779136
2013,33,0.797653
2013,34,0.825485
2013,35,0.935469
2013,36,1.04345
2013,37,1.09107
2013,38,1.20108
2013,39,1.26179
2013,40,1.13249
2013,41,1.21121
2013,42,1.25682
2013,43,1.37097
2013,44,1.42956
2013,45,1.53588
2013,46,1.60267
2013,47,1.73267
2013,48,2.09839
2013,49,2.21374
2013,50,2.41674
2013,51,3.03071
2013,52,4.38724
2014,1,4.2112
2014,2,3.46492
2014,3,3.31698
2014,4,3.2407
2014,5,2.88598
2014,6,2.62172
2014,7,2.34067
2014,8,2.12059
2014,9,1.91094
2014,10,1.9023
2014,11,1.76619
2014,12,1.85791
2014,13,1.82094
2014,14,1.83453
2014,15,1.75446
2014,16,1.51636
2014,17,1.40334
2014,18,1.2593
2014,19,1.32482
2014,20,1.27576
2014,21,1.29483
2014,22,1.2261
2014,23,1.14538
2014,24,1.0678
2014,25,1.07269
2014,26,1.01298
2014,27,0.994705
2014,28,0.880862
2014,29,0.858173
2014,30,0.805152
2014,31,0.818781
2014,32,0.783735
2014,33,0.848703
2014,34,0.834146
2014,35,0.905981
2014,36,1.04506
2014,37,1.16816
2014,38,1.27649
2014,39,1.29758
2014,40,1.22372
2014,41,1.3478
2014,42,1.42392
2014,43,1.43585
2014,44,1.44871
2014,45,1.62794
2014,46,1.66084
2014,47,2.03063
2014,48,2.65643
2014,49,2.63149
2014,50,3.45305
2014,51,4.50079
2014,52,6.11819
2014,53,5.33711
2015,1,4.09049
2015,2,3.97007
2015,3,4.16348
2015,4,3.87995
2015,5,3.45752
2015,6,3.07142
2015,7,2.86241
2015,8,2.38197
2015,9,2.36643
2015,10,2.24152
2015,11,2.10069
2015,12,2.04023
2015,13,1.96781
2015,14,1.77159
2015,15,1.53301
2015,16,1.45004
2015,17,1.47939
2015,18,1.45612
2015,19,1.37686
2015,20,1.35864
2015,21,1.32292
2015,22,1.17496
2015,23,1.1445
2015,24,1.00715
2015,25,1.03642
2015,26,1.01623
2015,27,0.897493
2015,28,0.857995
2015,29,0.837546
2015,30,0.840539
2015,31,0.85527
2015,32,0.850177
2015,33,0.88041
2015,34,0.916136
2015,35,0.996053
2015,36,1.07391
2015,37,1.13321
2015,38,1.23336
2015,39,1.24307
2015,40,1.26479
2015,41,1.33029
2015,42,1.41368
2015,43,1.36882
2015,44,1.48309
2015,45,1.54494
2015,46,1.62532
2015,47,1.91565
2015,48,1.74368
2015,49,1.83277
2015,50,1.9781
2015,51,2.42502
2015,52,2.42004
2016,1,2.00413
2016,2,2.00081
2016,3,2.1187
2016,4,2.19506
2016,5,2.31324
2016,6,2.69449
2016,7,2.9892
2016,8,3.11793
2016,9,3.33016
2016,10,3.59496
2016,11,3.10617
2016,12,2.80052
2016,13,2.54528
2016,14,2.13695
2016,15,2.063
2016,16,2.00069
2016,17,1.79657
2016,18,1.62312
2016,19,1.48612
2016,20,1.44781
2016,21,1.42969
2016,22,1.38076
2016,23,1.18441
2016,24,1.13328
2016,25,1.07511
2016,26,1.06889
2016,27,1.01866
